Unnamed: 0,Unnamed: 0
1,1
2,2
3,3
5,5
06 & 07,06 & 07
8,8
9,9
10.1,10.1
10.2-3,10.2-3
10.4,10.4
10.5,10.5
10.6,10.6
10.7,10.7
10.8,10.8
10.9,10.9
11.01-6 & 12,11.01-6 & 12
11.07,11.07
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20.3,20.3
20.4,20.4
20.5,20.5
20A,20.11 & 20.13 & 20.15
20B,20.14 & 20.16 & 20.17 & 20.70
20C,20.12 & 20.20
21,21
22,22
23.5-6,23.5-6
23OTHER, 23.1-4 & 23.7-9
24.1-3,24.1-3
24.4-5,24.4-5
25.4,25.4
25OTHER,25.1-3 & 25.5-9   
26,26
27,27
28,28
29,29
30.1,30.1
30.3,30.3
30OTHER,30.2 & 30.4 & 30.9           
31,31
32,32
33.15,33.15
33.16,33.16
33OTHER, 33.11 & 33.12 & 33.13 & 33.14 & 33.17 & 33.19 & 33.20          
35.1,35.1
35.2-3,35.2-3
36,36
37,37
38,38
39,39
"41, 42 & 43",41 & 42 & 43
45,45
46,46
47,47
49.1-2,49.1-2
49.3-5,49.3-5
50,50
51,51
52,52
53,53
55,55
56,56
58,58
59 & 60,59 & 60
61,61
62,62
63,63
64,64
65.1-2 & 65.3,65.1-2 & 65.3
66,66
68.1-2,68.1-2
68.2IMP,68.2IMP
68.3,68.3
69.1,69.1
69.2,69.2
70,70
71,71
72,72
73,73
74,74
75,75
77,77
78,78
79,79
80,80
81,81
82,82
84,84
85,85
86,86
87 & 88,87 & 88
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
