,Unnamed: 0,clust,descr,sic_4,label,flag
0,244,9,Construction of residential and non-residential buildings,4120,construction,False
1,245,9,Construction of roads and motorways,4211,construction,False
2,246,9,Construction of railways and underground railways,4212,construction,False
3,261,9,Painting and glazing,4334,construction,False
4,263,9,Roofing activities,4391,construction,False
5,262,9,Other building completion and finishing,4339,construction,False
6,260,9,Floor and wall covering,4333,construction,False
7,259,9,Joinery installation,4332,construction,False
8,258,9,Plastering,4331,construction,False
9,257,9,Other construction installation,4329,construction,False
10,256,9,"Plumbing, heat and air-conditioning installation",4322,construction,False
11,255,9,Electrical installation,4321,construction,False
12,254,9,Test drilling and boring,4313,construction,False
13,253,9,Site preparation,4312,construction,False
14,252,9,Demolition,4311,construction,False
15,251,9,Construction of other civil engineering projects n.e.c.,4299,construction,False
16,250,9,Construction of water projects,4291,construction,False
17,264,9,Other specialised construction activities n.e.c.,4399,construction,False
18,249,9,Construction of utility projects for electricity and telecommunications,4222,construction,False
19,247,9,Construction of bridges and tunnels,4213,construction,False
20,160,45,Manufacture of electronic components,2611,manufacture_advanced,False
21,161,45,Manufacture of loaded electronic boards,2612,manufacture_advanced,False
22,163,45,Manufacture of communication equipment,2630,manufacture_advanced,False
23,167,45,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2660,manufacture_advanced,False
24,165,45,"Manufacture of instruments and appliances for measuring, testing and navigation",2651,manufacture_advanced,False
25,164,45,Manufacture of consumer electronics,2640,manufacture_advanced,False
26,162,45,Manufacture of computers and peripheral equipment,2620,manufacture_advanced,False
27,43,41,Manufacture of oils and fats,1041,manufacture_agrochemical,False
28,99,41,Manufacture of fertilisers and nitrogen compounds,2015,manufacture_agrochemical,False
29,106,41,Manufacture of essential oils,2053,manufacture_agrochemical,False
30,101,41,Manufacture of pesticides and other agrochemical products,2020,manufacture_agrochemical,False
31,199,27,Manufacture of other parts and accessories for motor vehicles,2932,manufacture_automotive,False
32,196,27,Manufacture of motor vehicles,2910,manufacture_automotive,False
33,197,27,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,2920,manufacture_automotive,False
34,198,27,Manufacture of electrical and electronic equipment for motor vehicles,2931,manufacture_automotive,False
35,103,16,"Manufacture of soap and detergents, cleaning and polishing preparations",2041,manufacture_chemical_pharma,False
36,98,16,Manufacture of other organic basic chemicals,2014,manufacture_chemical_pharma,False
37,97,16,Manufacture of other inorganic basic chemicals,2013,manufacture_chemical_pharma,False
38,105,16,Manufacture of glues,2052,manufacture_chemical_pharma,False
39,107,16,Manufacture of other chemical products n.e.c.,2059,manufacture_chemical_pharma,False
40,108,16,Manufacture of man-made fibres,2060,manufacture_chemical_pharma,False
41,95,16,Manufacture of refined petroleum products,1920,manufacture_chemical_pharma,False
42,109,16,Manufacture of basic pharmaceutical products,2110,manufacture_chemical_pharma,False
43,314,16,Wholesale of chemical products,4675,manufacture_chemical_pharma,False
44,102,16,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",2030,manufacture_chemical_pharma,False
45,104,16,Manufacture of perfumes and toilet preparations,2042,manufacture_chemical_pharma,False
46,130,16,Manufacture of other non-metallic mineral products n.e.c.,2399,manufacture_chemical_pharma,False
47,273,16,Agents involved in the sale of timber and building materials,4613,manufacture_chemical_pharma,False
48,110,16,Manufacture of pharmaceutical preparations,2120,manufacture_chemical_pharma,False
49,118,0,"Manufacture and processing of other glass, including technical glassware",2319,manufacture_construction,False
50,122,0,Manufacture of ceramic household and ornamental articles,2341,manufacture_construction,False
51,121,0,"Manufacture of bricks, tiles and construction products, in baked clay",2332,manufacture_construction,False
52,120,0,Manufacture of ceramic tiles and flags,2331,manufacture_construction,False
53,124,0,Manufacture of other ceramic products,2349,manufacture_construction,False
54,295,0,Wholesale of china and glassware and cleaning materials,4644,manufacture_construction,False
55,96,0,Manufacture of dyes and pigments,2012,manufacture_construction,False
56,117,0,Shaping and processing of flat glass,2312,manufacture_construction,False
57,169,46,"Manufacture of electric motors, generators and transformers",2711,manufacture_electrical,False
58,170,46,Manufacture of electricity distribution and control apparatus,2712,manufacture_electrical,False
59,171,46,Manufacture of other electronic and electric wires and cables,2732,manufacture_electrical,False
60,172,46,Manufacture of electric lighting equipment,2740,manufacture_electrical,False
61,173,46,Manufacture of electric domestic appliances,2751,manufacture_electrical,False
62,174,46,Manufacture of non-electric domestic appliances,2752,manufacture_electrical,False
63,175,46,Manufacture of other electrical equipment,2790,manufacture_electrical,False
64,44,26,Operation of dairies and cheese making,1051,manufacture_food,False
65,42,26,Other processing and preserving of fruit and vegetables,1039,manufacture_food,False
66,41,26,Processing and preserving of potatoes,1031,manufacture_food,False
67,38,26,Processing and preserving of poultry meat,1012,manufacture_food,False
68,19,26,Post-harvest crop activities,163,manufacture_food,False
69,37,26,Processing and preserving of meat,1011,manufacture_food,False
70,46,26,Manufacture of grain mill products,1061,manufacture_food,False
71,45,26,Manufacture of ice cream,1052,manufacture_food,False
72,56,26,Manufacture of prepared pet foods,1092,manufacture_food,False
73,55,26,Manufacture of prepared feeds for farm animals,1091,manufacture_food,False
74,39,26,Production of meat and poultry meat products,1013,manufacture_food,False
75,60,43,Manufacture of soft drinks; production of mineral waters and other bottled waters,1107,manufacture_food_2,True
76,48,43,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,1072,manufacture_food_2,True
77,49,43,"Manufacture of cocoa, chocolate and sugar confectionery",1082,manufacture_food_2,True
78,50,43,Processing of tea and coffee,1083,manufacture_food_2,True
79,51,43,Manufacture of condiments and seasonings,1084,manufacture_food_2,True
80,52,43,Manufacture of prepared meals and dishes,1085,manufacture_food_2,True
81,53,43,Manufacture of homogenised food preparations and dietetic food,1086,manufacture_food_2,True
82,54,43,Manufacture of other food products n.e.c.,1089,manufacture_food_2,True
83,534,38,Repair of footwear and leather goods,9523,manufacture_footwear_leather,False
84,80,38,Manufacture of footwear,1520,manufacture_footwear_leather,False
85,78,38,Tanning and dressing of leather; dressing and dyeing of fur,1511,manufacture_footwear_leather,False
86,79,38,"Manufacture of luggage, handbags and the like, saddlery and harness",1512,manufacture_footwear_leather,False
87,82,4,Manufacture of veneer sheets and wood-based panels,1621,manufacture_furniture,False
88,81,4,Sawmilling and planing of wood,1610,manufacture_furniture,False
89,83,4,Manufacture of other builders' carpentry and joinery,1623,manufacture_furniture,False
90,207,4,Manufacture of office and shop furniture,3101,manufacture_furniture,False
91,208,4,Manufacture of kitchen furniture,3102,manufacture_furniture,False
92,209,4,Manufacture of mattresses,3103,manufacture_furniture,False
93,85,4,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting",1629,manufacture_furniture,False
94,210,4,Manufacture of other furniture,3109,manufacture_furniture,False
95,535,4,Repair of furniture and home furnishings,9524,manufacture_furniture,False
96,84,4,Manufacture of wooden containers,1624,manufacture_furniture,False
