,Score
services_creative_content,2.670359705037755
services_creative,2.1013343307786463
services_finance_real_state,1.8364356197352214
services_computing,1.7589126097028043
services_kibs,1.672244943073695
services_human_resources,1.5582045351052094
services_publishing,1.4211877197907532
services_professional_public,1.3388952817491249
services_business_support,1.3060481742184178
services_telecommunications,1.1581004271035067
services_health,1.07744197111153
services_travelling_tourism,0.9838850982229653
services_finance_insurance,0.7940347395505938
manufacture_footwear_leather,0.7527594212081801
wholesale_retail_misc,0.6827091512999826
services_education,0.6644965775612056
services_freight_transport,0.5966788069602804
manufacture_paper,0.5629148669168779
services_r_and_d,0.5260749759593879
services_real_estate,0.4944146113830642
manufacture_optics,0.44523724762516015
services_cleaning_facilities,0.4433034864634701
manufacture_advanced,0.290250217570413
manufacture_textiles,0.15164567155489664
services_cultural,0.1330112633958604
services_technical_engineering,0.12494793707347743
services_transport_storage,0.10946285921245391
manufacturing_aerospace,0.07741669183987754
services_energy,0.011095204566394906
manufacture_electrical,-0.01873221639118596
services_head_offices,-0.09262547765136177
mining_oil_gas,-0.12942065692062318
manufacture_chemical_pharma,-0.1306092084140777
manufacture_construction,-0.140016559914756
wholesale_repair_machinery,-0.1980473105089216
services_residential_social_work,-0.3016249217571433
manufacture_metallurgy_misc,-0.3174402873826137
manufacture_food_2,-0.36082077341064667
manufacture_rubber,-0.3766858267560656
services_consumer_retail,-0.3946355986988868
manufacturing_misc,-0.40028118994638473
manufacture_shipbuilding,-0.4016471431979888
services_repair_transport,-0.41738196818489187
manufacture_metallurgy_tools,-0.44075092905977437
manufacture_light_misc,-0.5328891299020332
manufacture_plastic,-0.5923069604103649
construction,-0.6546441575266819
manufacture_metallurgy,-0.6786927614387003
manufacture_automotive,-0.727055833790109
services_waste_recycling,-0.7321340884262381
services_automotive,-0.8597129865650286
manufacture_machinery,-0.9321476128437837
services_retail_misc,-0.9322534191521405
manufacture_agrochemical,-1.0122734782023177
manufacture_furniture,-1.171990752064779
services_urban_transport,-1.1796403388394447
manufacture_food,-1.2474316366066431
primary_farming,-1.2548314266396978
primary_forestry,-1.2957039730983748
services_agriculture_rural,-1.2980777623834958
primary_fishing,-1.324482247345481
services_leisure,-1.363038204659367
mining_mining,-1.5995511278663843
primary_livestock,-2.2339261801699415
