,clust,descr,sic_4
118,0,"Manufacture and processing of other glass, including technical glassware",2319
122,0,Manufacture of ceramic household and ornamental articles,2341
121,0,"Manufacture of bricks, tiles and construction products, in baked clay",2332
120,0,Manufacture of ceramic tiles and flags,2331
124,0,Manufacture of other ceramic products,2349
295,0,Wholesale of china and glassware and cleaning materials,4644
96,0,Manufacture of dyes and pigments,2012
117,0,Shaping and processing of flat glass,2312
479,1,Packaging activities,8292
330,1,Retail sale of audio and video equipment in specialised stores,4743
315,1,Wholesale of other intermediate products,4676
312,1,"Wholesale of wood, construction materials and sanitary equipment",4673
311,1,Wholesale of metals and metal ores,4672
309,1,Wholesale of other machinery and equipment,4669
304,1,Wholesale of machine tools,4662
302,1,Wholesale of electronic and telecommunications equipment and parts,4652
305,1,"Wholesale of mining, construction and civil engineering machinery",4663
272,1,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",4612
227,1,Installation of industrial machinery and equipment,3320
374,1,Other postal and courier activities,5320
226,1,Repair of other equipment,3319
222,1,Repair of electrical equipment,3314
531,1,Repair of communication equipment,9512
532,1,Repair of consumer electronics,9521
533,1,Repair of household appliances and home and garden equipment,9522
373,1,Postal activities under universal service obligation,5310
537,1,Repair of other personal and household goods,9529
274,1,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",4614
129,2,Production of abrasive products,2391
135,2,Precious metals production,2441
139,2,Casting of iron,2451
142,2,Casting of other non-ferrous metals,2454
141,2,Casting of light metals,2453
148,2,Manufacture of weapons and ammunition,2540
138,2,Other non-ferrous metal production,2445
233,2,Trade of gas through mains,3523
140,2,Casting of steel,2452
137,2,Copper production,2444
86,3,Manufacture of paper and paperboard,1712
87,3,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,1721
88,3,Manufacture of household and sanitary goods and of toilet requisites,1722
89,3,Manufacture of paper stationery,1723
93,3,Binding and related services,1814
91,3,Other printing,1812
92,3,Pre-press and pre-media services,1813
384,3,Publishing of directories and mailing lists,5812
90,3,Manufacture of other articles of paper and paperboard n.e.c.,1729
82,4,Manufacture of veneer sheets and wood-based panels,1621
81,4,Sawmilling and planing of wood,1610
83,4,Manufacture of other builders' carpentry and joinery,1623
207,4,Manufacture of office and shop furniture,3101
208,4,Manufacture of kitchen furniture,3102
209,4,Manufacture of mattresses,3103
85,4,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting",1629
210,4,Manufacture of other furniture,3109
535,4,Repair of furniture and home furnishings,9524
84,4,Manufacture of wooden containers,1624
447,5,"Other professional, scientific and technical activities n.e.c.",7490
408,5,Other information service activities n.e.c.,6399
405,5,"Data processing, hosting and related activities",6311
511,5,Artistic creation,9003
510,5,Support activities to performing arts,9002
407,5,News agency activities,6391
435,5,Architectural activities,7111
444,5,Specialised design activities,7410
445,5,Photographic activities,7420
446,5,Translation and interpretation activities,7430
509,5,Performing arts,9001
406,5,Web portals,6312
365,6,Passenger air transport,5110
355,6,"Passenger rail transport, interurban",4910
366,6,Freight air transport,5121
206,6,Manufacture of other transport equipment n.e.c.,3099
456,6,Renting and leasing of office machinery and equipment (including computers),7733
485,6,Public order and safety activities,8424
484,6,Justice and judicial activities,8423
483,6,Regulation of and contribution to more efficient operation of businesses,8413
36,6,Support activities for other mining and quarrying,0990
482,6,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",8412
481,6,General public administration activities,8411
459,6,"Leasing of intellectual property and similar products, except copyrighted works",7740
457,6,Renting and leasing of air transport equipment,7735
453,6,Renting and leasing of other personal and household goods,7729
451,6,Renting and leasing of recreational and sports goods,7721
430,6,Legal activities,6910
349,7,Retail sale of second-hand goods in stores,4779
340,7,Retail sale of games and toys in specialised stores,4765
335,7,"Retail sale of furniture, lighting equipment and other household articles in specialised stores",4759
336,7,Retail sale of books in specialised stores,4761
320,7,Retail sale of fruit and vegetables in specialised stores,4721
337,7,Retail sale of newspapers and stationery in specialised stores,4762
348,7,Other retail sale of new goods in specialised stores,4778
347,7,Retail sale of watches and jewellery in specialised stores,4777
344,7,Retail sale of medical and orthopaedic goods in specialised stores,4774
342,7,Retail sale of footwear and leather goods in specialised stores,4772
339,7,Retail sale of sporting equipment in specialised stores,4764
285,7,"Wholesale of dairy products, eggs and edible oils and fats",4633
276,7,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",4616
326,7,Other retail sale of food in specialised stores,4729
341,7,Retail sale of clothing in specialised stores,4771
350,7,"Retail sale via stalls and markets of food, beverages and tobacco products",4781
352,7,Retail sale via stalls and markets of other goods,4789
354,7,"Other retail sale not in stores, stalls or markets",4799
379,7,Restaurants and mobile food service activities,5610
380,7,Event catering activities,5621
381,7,Other food service activities,5629
351,7,"Retail sale via stalls and markets of textiles, clothing and footwear",4782
512,8,Operation of arts facilities,9004
525,8,Activities of professional membership organisations,9412
524,8,Activities of business and employers membership organisations,9411
523,8,Other amusement and recreation activities,9329
522,8,Activities of amusement parks and theme parks,9321
527,8,Activities of religious organisations,9491
393,8,Motion picture projection activities,5914
528,8,Activities of political organisations,9492
529,8,Activities of other membership organisations n.e.c.,9499
517,8,Gambling and betting activities,9200
526,8,Activities of trade unions,9420
244,9,Construction of residential and non-residential buildings,4120
245,9,Construction of roads and motorways,4211
246,9,Construction of railways and underground railways,4212
261,9,Painting and glazing,4334
263,9,Roofing activities,4391
262,9,Other building completion and finishing,4339
260,9,Floor and wall covering,4333
259,9,Joinery installation,4332
258,9,Plastering,4331
257,9,Other construction installation,4329
256,9,"Plumbing, heat and air-conditioning installation",4322
255,9,Electrical installation,4321
254,9,Test drilling and boring,4313
253,9,Site preparation,4312
252,9,Demolition,4311
251,9,Construction of other civil engineering projects n.e.c.,4299
250,9,Construction of water projects,4291
264,9,Other specialised construction activities n.e.c.,4399
249,9,Construction of utility projects for electricity and telecommunications,4222
247,9,Construction of bridges and tunnels,4213
195,10,Manufacture of other special-purpose machinery n.e.c.,2899
119,10,Manufacture of refractory products,2320
213,10,Manufacture of musical instruments,3220
183,10,Manufacture of office machinery and equipment (except computers and peripheral equipment),2823
211,10,Manufacture of jewellery and related articles,3212
218,10,Other manufacturing n.e.c.,3299
134,10,Cold drawing of wire,2434
217,10,Manufacture of brooms and brushes,3291
193,10,Manufacture of machinery for paper and paperboard production,2895
216,10,Manufacture of medical and dental instruments and supplies,3250
215,10,Manufacture of games and toys,3240
192,10,"Manufacture of machinery for textile, apparel and leather production",2894
214,10,Manufacture of sports goods,3230
212,10,Manufacture of imitation jewellery and related articles,3213
346,11,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",4776
343,11,Dispensing chemist in specialised stores,4773
382,11,Beverage serving activities,5630
333,11,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores",4753
332,11,"Retail sale of hardware, paints and glass in specialised stores",4752
540,11,Funeral and related activities,9603
327,11,Retail sale of automotive fuel in specialised stores,4730
539,11,Hairdressing and other beauty treatment,9602
127,11,"Manufacture of other articles of concrete, plaster and cement",2369
28,11,Mining of hard coal,0510
319,11,Other retail sale in non-specialised stores,4719
321,11,Retail sale of meat and meat products in specialised stores,4722
318,11,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",4711
47,11,Manufacture of bread; manufacture of fresh pastry goods and cakes,1071
323,11,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",4724
288,11,Wholesale of sugar and chocolate and sugar confectionery,4636
128,11,"Cutting, shaping and finishing of stone",2370
420,12,Security and commodity contracts brokerage,6612
422,12,Risk and damage evaluation,6621
419,12,Administration of financial markets,6611
418,12,Pension funding,6530
417,12,Reinsurance,6520
416,12,Non-life insurance,6512
415,12,Life insurance,6511
424,12,Other activities auxiliary to insurance and pension funding,6629
425,12,Fund management activities,6630
421,12,"Other activities auxiliary to financial services, except insurance and pension funding",6619
423,12,Activities of insurance agents and brokers,6622
521,13,Other sports activities,9319
280,13,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",4621
448,13,Veterinary activities,7500
473,13,Landscape service activities,8130
310,13,"Wholesale of solid, liquid and gaseous fuels and related products",4671
518,13,Operation of sports facilities,9311
271,13,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",4611
303,13,"Wholesale of agricultural machinery, equipment and supplies",4661
282,13,Wholesale of live animals,4623
519,13,Activities of sport clubs,9312
530,14,Repair of computers and peripheral equipment,9511
431,14,"Accounting, bookkeeping and auditing activities; tax consultancy",6920
538,14,Washing and (dry-)cleaning of textile and fur products,9601
466,14,Private security activities,8010
467,14,Security systems service activities,8020
468,14,Investigation activities,8030
301,14,"Wholesale of computers, computer peripheral equipment and software",4651
498,14,General medical practice activities,8621
541,14,Physical well-being activities,9604
500,14,Dental practice activities,8623
501,14,Other human health activities,8690
520,14,Fitness facilities,9313
497,14,Hospital activities,8610
499,14,Specialist medical practice activities,8622
542,14,Other personal service activities n.e.c.,9609
234,15,"Water collection, treatment and supply",3600
436,15,Engineering activities and related technical consultancy,7112
437,15,Technical testing and analysis,7120
248,15,Construction of utility projects for fluids,4221
103,16,"Manufacture of soap and detergents, cleaning and polishing preparations",2041
98,16,Manufacture of other organic basic chemicals,2014
97,16,Manufacture of other inorganic basic chemicals,2013
105,16,Manufacture of glues,2052
107,16,Manufacture of other chemical products n.e.c.,2059
